Regiones,Médicos asignados,enfermeros,obstétras,Población,Inversión salud,Inversión educación,Inversión transporte,dc en menores de 5 años,year
Amazonas,297,422,275,421122,164822519,326937715,496379393,0.271,2013
Ancash,716,904,457,1142409,352738814,999685657,614390659,0.22,2013
Apurimac,440,861,398,456652,294097982,456433798,516936666,0.29,2013
Arequipa,1681,1985,593,1273180,373293119,810567617,1183174166,0.087,2013
Ayacucho,444,937,541,681149,345097008,847517078,1015187885,0.28,2013
Cajamarca,650,1160,586,1525064,491808334,1068524771,1327610129,0.356,2013
Callao,1673,1398,256,996455,411145246,405979220,621836764,,2013
Cuzco,992,1390,567,1308806,605493081,1418384249,1876399339,0.2,2013
Huancavelica,367,645,406,491278,252333969,455041103,298623882,0.424,2013
Huanuco,399,765,392,854234,367122530,664469604,299386834,0.29,2013
Ica,794,765,243,779372,313700881,525506971,298000638,0.077,2013
Junin,751,1322,504,1341064,397696874,749022823,662618804,0.242,2013
La Libertad,1431,1518,643,1836960,468972694,1053281448,733896851,0.221,2013
Lambayeque,987,1148,422,1250349,283053821,565035591,213665769,0.142,2013
Lima,13177,12224,2407,9689011,4931427601,4984517579,2720523485,0.51,2013
Loreto,471,690,323,1028968,335998418,699872827,329676720,0.277,2013
Madre de Dios,158,185,112,134105,73447604,151866865,455624586,0.116,2013
Moquegua,204,315,126,178612,133514264,241013435,230492391,0.041,2013
Pasco,287,353,190,301988,119657469,331088644,300702830,0.265,2013
Piura,957,997,608,1829496,397882773,995486285,576092152,0.249,2013
Puno,759,1326,491,1402496,422485415,1057766752,949755859,0.19,2013
San Martin,421,473,378,829520,327671955,545262644,592146915,0.155,2013
Tacna,361,591,193,337583,148378747,254881254,262823379,0.029,2013
Tumbes,171,187,116,234638,103383058,246167581,111449359,0.091,2013
Ucayali,283,466,226,489664,163394982,355129344,273627113,0.245,2013
