Regiones,Médicos asignados,enfermeros,obstétras,Población,Inversión salud,Inversión educación,Inversión transporte,dc en menores de 5 años,year
Amazonas,290,405,275,419404,172613265,314978901,423598453,0.292,2012
Ancash,715,899,457,1135962,321355737,999837273,788476179,0.247,2012
Apurimac,434,848,398,454324,262324793,367397382,411053663,0.322,2012
Arequipa,1679,1898,598,1259162,322261882,724246757,683875602,0.073,2012
Ayacucho,443,940,541,673609,297943857,685902914,964233624,0.295,2012
Cajamarca,649,1155,588,1519764,361294249,927620242,1363469430,0.342,2012
Callao,1682,1373,257,982800,409061126,419994428,726077252,,2012
Cuzco,991,1318,568,1300609,544655162,1248523695,1617385662,0.243,2012
Huancavelica,362,633,404,487472,230528458,449344301,423149728,0.502,2012
Huanuco,391,757,391,847714,275013924,678143090,388161841,0.309,2012
Ica,811,766,245,771507,243753960,441775432,329572725,0.077,2012
Junin,746,1269,503,1331253,349907740,647077804,574762854,0.244,2012
La Libertad,1422,1491,634,1814276,402207616,931723966,531720347,0.21,2012
Lambayeque,1005,1155,430,1239882,201178596,496811544,224307512,0.14,2012
Lima,12733,11632,2368,9540996,4460828057,4655170582,3595438255,0.063,2012
Loreto,455,626,322,1018160,288731864,630827865,331391372,0.323,2012
Madre de Dios,156,180,108,130876,66382647,122540690,319136131,0.121,2012
Moquegua,203,292,128,176736,104098116,210333728,274958481,0.044,2012
Pasco,276,342,186,299807,109132991,362551172,246619486,0.26,2012
Piura,948,975,607,1814622,330785320,826194148,577918110,0.217,2012
Puno,758,1276,490,1389684,411896848,906045566,855013087,0.2,2012
San Martin,415,449,377,818061,208999508,498287155,439327760,0.168,2012
Tacna,762,506,192,333276,139562027,267407600,342157408,0.031,2012
Tumbes,171,172,116,231480,136706723,257460229,134292123,0.101,2012
Ucayali,281,457,226,483708,145563184,368059174,152143098,0.247,2012
