Regiones,Médicos asignados,enfermeros,obstétras,Población,Inversión salud,Inversión educación,Inversión transporte,dc en menores de 5 años,year
Amazonas,187,165,100,419550,102980370,204833755,354208060,0.337,2008
Ancash,615,668,224,1122426,280144525,1100933117,1132349490,0.369,2008
Apurimac,231,361,137,447897,177139556,256991513,111987356,0.436,2008
Arequipa,1176,1367,394,1201788,209263969,574082860,428185073,0.09,2008
Ayacucho,305,466,225,667336,190985048,404072027,191392430,0.403,2008
Cajamarca,379,602,292,1485432,295232196,711720551,411164630,0.459,2008
Callao,1145,976,138,909395,229249686,317510668,498355881,,2008
Cuzco,742,920,232,1241433,303031365,822618526,786225915,0.329,2008
Huancavelica,360,328,106,487014,171873256,343479650,147064046,0.566,2008
Huanuco,385,552,200,812312,222152188,375930360,206990304,0.488,2008
Ica,697,698,168,742944,203026681,482615497,131093246,0.138,2008
Junin,501,859,214,1299334,211304814,582685992,316310978,0.289,2008
La Libertad,1030,810,277,1698162,309751100,628128344,374188025,0.355,2008
Lambayeque,750,850,237,1166497,144562144,395215504,110065139,0.202,2008
Lima,7209,6529,1585,8742797,3037683589,3421067716,1781163573,0.119,2008
Loreto,334,421,80,990662,194465081,491273917,101224098,0.285,2008
Madre de Dios,89,98,48,115158,50642076,73488346,230746444,0.163,2008
Moquegua,176,216,105,168930,70173760,216480277,237745917,0.086,2008
Pasco,116,184,77,296305,80625669,374655651,346747276,0.413,2008
Piura,602,541,331,1761334,222941432,628960890,300904629,0.283,2008
Puno,431,661,354,1347499,231922303,637710794,368655397,0.377,2008
San Martin,283,263,178,768989,118413342,314780652,388931852,0.23,2008
Tacna,185,251,90,301093,89804514,403885362,504554928,0.068,2008
Tumbes,121,110,72,208901,37995723,164719092,180268861,0.126,2008
Ucayali,199,254,102,453856,91305776,274741850,292327705,0.324,2008
