Regiones,Médicos asignados,enfermeros,obstetras,Población,Inversión pública,dc en menores de 5 años,year
Amazonas,130,142,101,389700,53433252,0.374,2007
Ancash,513,458,223,1039415,177064682,0.386,2007
Apurimac,162,250,136,418882,87035959,0.417,2007
Arequipa,1309,1360,391,1140810,209593072,0.124,2007
Ayacucho,191,361,226,619338,108656918,0.422,2007
Cajamarca,281,498,293,1359023,165425195,0.466,2007
Callao,1060,733,148,810568,230151241,,2007
Cuzco,483,742,232,1171503,210480507,0.369,2007
Huancavelica,108,119,106,447054,63096804,0.592,2007
Huanuco,238,407,199,730871,104224695,0.494,2007
Ica,629,571,170,665592,133464007,0.13,2007
Junin,444,773,214,1091619,152337338,0.319,2007
La Libertad,943,790,276,1539774,188934944,0.312,2007
Lambayeque,781,722,236,1091535,130217014,0.201,2007
Lima,8789,6681,1591,7819436,2693586670,0.114,2007
Loreto,274,213,81,884144,147267778,0.323,2007
Madre de Dios,75,83,51,92024,30673554,0.157,2007
Moquegua,169,216,104,159306,107118933,0.095,2007
Pasco,141,188,76,266764,43725726,0.395,2007
Piura,639,543,330,1630772,180801431,0.296,2007
Puno,465,656,255,1245508,156870426,0.367,2007
San Martin,223,188,178,669973,91487326,0.251,2007
Tacna,245,270,90,274496,110175931,0.063,2007
Tumbes,100,111,71,191713,33656224,0.122,2007
Ucayali,169,256,102,402445,71103581,0.305,2007
