Regiones,Médicos asignados,enfermeros,obstetras,Población,Inversión pública,dc en menores de 5 años,year
Amazonas,216,232,184,411043,80653312,0.268,2009
Ancash,689,687,401,1109849,252477237,0.282,2009
Apurimac,332,571,261,444202,183689578,0.348,2009
Arequipa,1450,1621,507,1205317,219437067,0.122,2009
Ayacucho,368,670,384,642972,166705752,0.414,2009
Cajamarca,507,754,438,1493159,240192526,0.398,2009
Callao,1327,1006,216,926788,270051263,,2009
Cuzco,763,972,394,1265827,275189023,0.384,2009
Huancavelica,213,361,130,471720,113020286,0.536,2009
Huanuco,364,611,377,819578,150834081,0.392,2009
Ica,733,674,200,739087,224731420,0.103,2009
Junin,649,986,341,1292330,179439994,0.337,2009
La Libertad,1230,1184,383,1725075,248575364,0.272,2009
Lambayeque,881,920,326,1196655,156348604,0.182,2009
Lima,10637,9894,2061,8981440,3408680870,0.086,2009
Loreto,403,484,236,970918,194813160,0.291,2009
Madre de Dios,104,108,64,117981,48235084,0.125,2009
Moquegua,204,272,115,169365,84198231,0.051,2009
Pasco,202,252,115,290483,93070066,0.384,2009
Piura,878,789,420,1754791,195890491,0.23,2009
Puno,618,927,391,1340684,202590883,0.273,2009
San Martin,330,294,253,771021,113424653,0.282,2009
Tacna,318,463,174,315534,111178840,0.021,2009
Tumbes,156,131,89,218017,38305443,0.135,2009
Ucayali,232,325,146,458177,95056392,0.299,2009
